x, y, z, yaw
42.6337,-43.5026,-15.7167,3.04544
42.5223,-43.4981,-15.7167,3.0278
42.4233,-43.4935,-15.7167,3.0115
42.3021,-43.4838,-15.7167,2.99213
42.1905,-43.4742,-15.7167,2.97564
42.079,-43.4617,-15.7167,2.95973
41.9685,-43.447,-15.7167,2.9442
41.8689,-43.4323,-15.7167,2.93077
41.7508,-43.413,-15.7166,2.91448
41.6485,-43.3956,-15.7166,2.89875
41.5472,-43.3745,-15.7166,2.88648
41.4476,-43.3518,-15.7167,2.87747
41.3508,-43.3289,-15.7167,2.86827
41.2527,-43.3047,-15.7168,2.86002
40.3228,-43.029,-15.7167,2.78678
40.2179,-42.9914,-15.7167,2.78122
40.113,-42.9539,-15.7168,2.77642
40.008,-42.9163,-15.7168,2.77201
39.9026,-42.8767,-15.7168,2.76818
39.7971,-42.837,-15.7168,2.76511
39.6918,-42.7958,-15.7168,2.76223
39.5858,-42.754,-15.7168,2.75974
39.4897,-42.7159,-15.7168,2.75802
39.3732,-42.6697,-15.7168,2.7561
39.2658,-42.6265,-15.7168,2.75476
39.1579,-42.5826,-15.7168,2.7538
39.0499,-42.5387,-15.7168,2.75303
38.0529,-42.131,-15.7168,2.74843
37.9408,-42.0845,-15.7168,2.74804
37.8293,-42.0387,-15.7168,2.74766
37.7179,-41.9928,-15.7167,2.74728
37.6177,-41.9506,-15.7167,2.74689
37.5056,-41.9041,-15.7167,2.74651
37.3935,-41.8576,-15.7167,2.74632
37.2695,-41.8053,-15.7167,2.74574
37.1567,-41.7582,-15.7167,2.74536
37.0439,-41.711,-15.7167,2.74498
36.9305,-41.6631,-15.7167,2.74479
36.8282,-41.6203,-15.7167,2.74498
36.7028,-41.5681,-15.7167,2.74536
36.5893,-41.5202,-15.7167,2.74594
35.6533,-41.1304,-15.7167,2.75341
35.5467,-41.0864,-15.7167,2.75399
35.4282,-41.0381,-15.7167,2.75456
35.2992,-40.9855,-15.7167,2.75476
35.1822,-40.9371,-15.7167,2.75514
35.0665,-40.8901,-15.7167,2.75552
34.9521,-40.8444,-15.7168,2.75571
34.8392,-40.7987,-15.7168,2.75591
34.7277,-40.7529,-15.7168,2.75629
34.6161,-40.7085,-15.7168,2.75667
34.5068,-40.6633,-15.7168,2.75667
34.4079,-40.6239,-15.7168,2.75686
34.2894,-40.5756,-15.7168,2.75706
34.1821,-40.5324,-15.7168,2.75706
33.3516,-40.1967,-15.7169,2.75821
33.2458,-40.1535,-15.7169,2.75821
33.1271,-40.1066,-15.7169,2.75821
33.0185,-40.0621,-15.7169,2.75802
32.9054,-40.0178,-15.7168,2.75744
32.794,-39.972,-15.7168,2.75667
32.6796,-39.9263,-15.7168,2.7561
32.5624,-39.8794,-15.7168,2.75552
32.4439,-39.8311,-15.7168,2.75476
32.3226,-39.7816,-15.7168,2.75399
32.1984,-39.7322,-15.7168,2.75361
32.0715,-39.6801,-15.7168,2.75303
31.9419,-39.6268,-15.7168,2.75265
31.8079,-39.5722,-15.7168,2.75226
30.5063,-39.0367,-15.7168,2.74843
30.3598,-38.9757,-15.7167,2.74747
30.2134,-38.9147,-15.7167,2.74689
30.0668,-38.8552,-15.7167,2.74632
29.9225,-38.7948,-15.7167,2.74555
29.7789,-38.7351,-15.7167,2.74498
29.636,-38.6746,-15.7167,2.74479
29.4931,-38.6155,-15.7167,2.74402
29.3494,-38.5558,-15.7167,2.74344
29.2079,-38.4967,-15.7167,2.74325
29.0678,-38.4374,-15.7167,2.74287
28.9285,-38.3789,-15.7168,2.74248
28.7905,-38.3202,-15.7167,2.74229
27.5517,-37.7967,-15.7168,2.74133
27.4138,-37.738,-15.7168,2.74114
27.275,-37.6802,-15.7168,2.74095
27.1364,-37.6209,-15.7168,2.74095
26.9985,-37.5622,-15.7168,2.74076
26.8606,-37.5036,-15.7169,2.74057
26.7212,-37.445,-15.7169,2.74057
26.5826,-37.3857,-15.7169,2.74038
26.4432,-37.3272,-15.7169,2.74018
26.3053,-37.2685,-15.7169,2.74038
26.1807,-37.2156,-15.7169,2.74018
26.0288,-37.1506,-15.7169,2.73999
25.8908,-37.0919,-15.7169,2.74018
24.6354,-36.5593,-15.7169,2.73942
24.4946,-36.4994,-15.7169,2.73922
24.3539,-36.4395,-15.7169,2.73903
24.2125,-36.3789,-15.7169,2.73846
24.0704,-36.3191,-15.717,2.7375
23.9296,-36.2591,-15.717,2.73577
23.7881,-36.2,-15.717,2.73366
23.6481,-36.1408,-15.717,2.73117
23.5073,-36.0809,-15.717,2.72849
23.3674,-36.0202,-15.717,2.72619
23.2268,-35.9588,-15.717,2.72408
23.0841,-35.8969,-15.717,2.72216
22.94,-35.8335,-15.717,2.72043
22.7961,-35.7688,-15.717,2.71928
21.6112,-35.2338,-15.717,2.71602
21.4611,-35.1658,-15.717,2.71602
21.3115,-35.0985,-15.717,2.71583
21.1614,-35.0305,-15.717,2.71564
21.0112,-34.9625,-15.717,2.71564
20.8616,-34.8951,-15.717,2.71545
20.7284,-34.8333,-15.717,2.71545
20.5649,-34.7596,-15.717,2.71526
20.4175,-34.6929,-15.717,2.71526
20.2715,-34.6261,-15.7171,2.71526
20.1276,-34.5613,-15.7171,2.71526
19.9991,-34.5028,-15.7171,2.71507
19.844,-34.4329,-15.7171,2.71487
19.7058,-34.3692,-15.7171,2.71487
18.635,-33.8828,-15.7171,2.71487
18.5136,-33.8268,-15.7171,2.71526
18.3759,-33.7652,-15.7171,2.71526
18.2223,-33.6953,-15.7171,2.71526
18.0805,-33.6311,-15.7171,2.71545
17.938,-33.5662,-15.717,2.71564
17.7934,-33.5007,-15.717,2.71564
17.6467,-33.4347,-15.717,2.71602
17.4986,-33.3673,-15.717,2.7166
17.3645,-33.3062,-15.717,2.71717
17.2151,-33.2374,-15.717,2.71794
17.0488,-33.1625,-15.717,2.71909
16.8944,-33.0933,-15.717,2.72043
16.7393,-33.0234,-15.717,2.72216
15.28,-32.3805,-15.717,2.73827
15.1126,-32.3093,-15.717,2.73884
14.9438,-32.2381,-15.717,2.73942
14.792,-32.1731,-15.717,2.73961
14.6043,-32.0937,-15.7171,2.73942
14.432,-32.0206,-15.7171,2.73807
14.2605,-31.9481,-15.7171,2.73596
14.0868,-31.8751,-15.7171,2.73251
13.9138,-31.8013,-15.7171,2.72753
13.7395,-31.7276,-15.7171,2.72178
13.5652,-31.6524,-15.7171,2.71564
13.3903,-31.5765,-15.7171,2.70893
13.2331,-31.5061,-15.7171,2.7026
11.6336,-30.7213,-15.7172,2.59369
11.4772,-30.6327,-15.7172,2.58008
11.2864,-30.5216,-15.7172,2.56321
11.1147,-30.4173,-15.7172,2.5471
10.9434,-30.3086,-15.7172,2.53003
10.7721,-30.1985,-15.7172,2.51163
10.6034,-30.0845,-15.7172,2.49207
10.4364,-29.9676,-15.7172,2.47194
10.2697,-29.8478,-15.7172,2.45161
10.1055,-29.7227,-15.7172,2.43071
9.94446,-29.5959,-15.7172,2.40847
9.78589,-29.4654,-15.7172,2.3845
9.64595,-29.346,-15.7172,2.36168
8.39997,-27.9649,-15.7172,2.10034
8.28568,-27.7925,-15.7172,2.06928
8.17534,-27.6162,-15.7172,2.03841
8.07044,-27.4359,-15.7172,2.00754
7.97095,-27.2516,-15.7172,1.97648
7.8761,-27.0641,-15.7172,1.94541
7.78734,-26.8734,-15.7172,1.91416
7.70467,-26.6793,-15.7172,1.88291
7.62809,-26.482,-15.7171,1.85184
7.55748,-26.2829,-15.7171,1.82059
7.49283,-26.0819,-15.7171,1.78953
7.4398,-25.8976,-15.7171,1.76172
7.38247,-25.6708,-15.7171,1.72779
7.20368,-23.7256,-15.717,1.49846
7.21287,-23.5018,-15.717,1.48121
7.22656,-23.2763,-15.717,1.46625
7.24475,-23.0491,-15.7169,1.45302
7.26733,-22.8216,-15.7169,1.44132
7.29216,-22.5932,-15.7169,1.43154
7.3207,-22.3638,-15.7169,1.42292
7.35149,-22.1336,-15.7169,1.41429
7.38052,-21.9238,-15.7169,1.40643
7.41595,-21.6904,-15.7169,1.39761
7.45375,-21.4547,-15.7169,1.38879
7.49301,-21.2188,-15.7169,1.37997
7.53867,-20.9594,-15.7169,1.37
7.5839,-20.7218,-15.7169,1.36098
7.9945,-18.9196,-15.7168,1.29177
8.05557,-18.6918,-15.7168,1.28294
8.10531,-18.5111,-15.7168,1.27585
8.16124,-18.3177,-15.7169,1.26876
8.21665,-18.1301,-15.7169,1.26166
8.27837,-17.9284,-15.7169,1.25361
8.33395,-17.7473,-15.7169,1.24671
8.39153,-17.5683,-15.7169,1.24019
8.4507,-17.3877,-15.7169,1.23348
8.51053,-17.2078,-15.7169,1.22696
8.57249,-17.0286,-15.7169,1.22044
8.63524,-16.8485,-15.7169,1.21392
8.70037,-16.6661,-15.7169,1.2074
8.76788,-16.4814,-15.7168,1.20126
9.36164,-14.9871,-15.7169,1.16061
9.43281,-14.8189,-15.7169,1.15678
9.52081,-14.6155,-15.7169,1.15294
9.60146,-14.4299,-15.7169,1.15007
9.68356,-14.2442,-15.7169,1.14815
9.76713,-14.0585,-15.7169,1.147
9.84268,-13.8899,-15.7169,1.14623
9.92704,-13.7034,-15.7169,1.14623
10.0114,-13.5169,-15.7169,1.14719
10.1039,-13.3118,-15.7169,1.14834
10.1875,-13.126,-15.7169,1.1493
10.271,-12.9403,-15.7169,1.15007
10.3537,-12.7568,-15.7169,1.15045
10.4347,-12.5748,-15.7169,1.15083
11.0584,-11.1715,-15.717,1.15314
11.115,-11.0454,-15.717,1.15333
11.1621,-10.9381,-15.717,1.15352
11.2133,-10.824,-15.717,1.15371
11.2649,-10.7055,-15.717,1.15371
11.3099,-10.6055,-15.7171,1.1539
11.3469,-10.5213,-15.7171,1.15409
11.3901,-10.4243,-15.7171,1.15429
11.4255,-10.3431,-15.7171,1.15429
11.4587,-10.2692,-15.7171,1.15429
11.4877,-10.2022,-15.7171,1.15448
11.5148,-10.141,-15.7171,1.15448
11.5392,-10.0851,-15.7171,1.15467
11.663,-9.8041,-15.7172,1.15505
11.6684,-9.79216,-15.7172,1.15505
11.672,-9.78323,-15.7172,1.15505
11.6764,-9.77499,-15.7172,1.15505
11.6783,-9.76907,-15.7172,1.15505
11.681,-9.76383,-15.7172,1.15505
11.6828,-9.75936,-15.7172,1.15505
11.6854,-9.75412,-15.7172,1.15505
11.6865,-9.75043,-15.7172,1.15505
11.6882,-9.74743,-15.7172,1.15505
11.69,-9.74296,-15.7172,1.15505
11.6873,-9.74966,-15.7172,1.15505
11.6874,-9.7482,-15.7172,1.15505
11.6873,-9.74966,-15.7172,1.15524
